Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
1650000,1.4039786,34.43093270365998,15.830955,11.87564321884439,11.87564321884439,51.187546,0.47523504,0.00027549703,0.19183236,0.0045924326,1.0
1680000,1.4042583,35.22195416164053,16.062468,12.343434867273638,12.343434867273638,50.264416,0.44209453,0.00027507174,0.19169056,0.0045853592,1.0
1710000,1.4044942,34.188745603751464,16.729496,12.074901906437562,12.074901906437562,56.80749,0.47977486,0.00027457162,0.19152391,0.004577041,1.0
1740000,1.4046296,34.18140068886338,16.846542,11.824238737703066,11.824238737703066,57.451004,0.49987164,0.00027406975,0.1913566,0.004568693,1.0
1770000,1.4055302,34.65206812652068,16.856762,12.122496543216535,12.122496543216535,56.7355,0.4769581,0.00027365,0.19121665,0.00456171,1.0
1800000,1.4065402,34.833134684147794,17.191967,12.43120195902218,12.43120195902218,58.67619,0.47773898,0.00027322888,0.19107626,0.004554707,1.0
1830000,1.4078035,35.25544794188862,17.560686,12.77152436426852,12.77152436426852,59.768982,0.45516837,0.00027280423,0.19093476,0.0045476425,1.0
1860000,1.4094001,34.83990442054958,17.909578,12.148149252685595,12.148149252685595,62.477283,0.48727548,0.0002723776,0.19079252,0.0045405463,1.0
1890000,1.4102037,35.61951219512195,17.95634,12.748863577697335,12.748863577697335,64.541145,0.47683978,0.0002718704,0.19062345,0.0045321104,1.0
1920000,1.411123,35.30266343825666,18.140558,12.476469488828004,12.476469488828004,64.35036,0.48010108,0.0002714416,0.1904805,0.004524978,1.0
1950000,1.4127831,35.49270072992701,18.91235,12.826045806390526,12.826045806390526,67.578926,0.48019028,0.00027101394,0.19033797,0.004517864,1.0
1980000,1.4135054,34.94604316546763,18.723568,12.188254764969114,12.188254764969114,73.009575,0.49408296,0.00027050465,0.19016822,0.0045093936,1.0
2010000,1.4144408,35.92971639950678,18.56007,12.703936623345161,12.703936623345161,66.634155,0.46194556,0.00027007784,0.19002596,0.0045022955,1.0
2040000,1.414961,36.58948685857322,18.597046,13.129681648912657,13.129681648912657,68.295,0.45939705,0.00026964382,0.18988125,0.0044950745,1.0
2070000,1.4161932,36.70566037735849,18.414696,13.233886649398684,13.233886649398684,63.75415,0.44338608,0.00026920193,0.18973398,0.004487725,1.0
2100000,1.4176451,36.31716417910448,18.942226,13.470453309126903,13.470453309126903,66.53207,0.4454638,0.00026876447,0.18958817,0.004480449,1.0
2130000,1.4191386,35.79631901840491,19.261496,13.1400781099416,13.1400781099416,72.759705,0.4733415,0.00026824605,0.18941538,0.0044718254,1.0
2160000,1.4202234,35.83926380368098,19.602015,13.394528492316146,13.394528492316146,72.29239,0.4631877,0.00026781467,0.18927154,0.0044646505,1.0
2190000,1.4212908,35.93472906403941,19.353615,13.238865135448613,13.238865135448613,71.25846,0.47827324,0.0002673819,0.18912727,0.004457452,1.0
2220000,1.422681,35.65647921760391,19.422813,13.085608381586727,13.085608381586727,72.517746,0.49158657,0.00026695244,0.18898416,0.004450308,1.0
2250000,1.4229146,35.54257907542579,19.52821,12.866541783703795,12.866541783703795,72.91422,0.46968922,0.00026651894,0.18883963,0.0044430983,1.0
2280000,1.4232981,36.13011152416357,19.27124,13.278185092789828,13.278185092789828,71.69299,0.47931013,0.00026600505,0.18866836,0.00443455,1.0
2310000,1.4243932,36.6624843161857,19.092299,13.711528547379274,13.711528547379274,64.0518,0.44259167,0.00026557018,0.18852338,0.0044273175,1.0
2340000,1.4258374,37.04314720812183,19.27046,13.63005890005131,13.63005890005131,67.137596,0.44694427,0.0002651286,0.18837619,0.0044199717,1.0
2370000,1.4274892,36.420199501246884,19.81332,13.481346538499407,13.481346538499407,71.09765,0.4648451,0.000264686,0.18822865,0.00441261,1.0
